001	36	60	44
002	99	68	96
003	54	46	94
004	96	90	76
005	52	23	53
006	54	28	37
007	64	92	21
008	43	83	73
009	95	48	56
010	26	42	37
011	90	22	88
012	85	85	85
013	61	75	51
014	56	31	63
015	59	50	53
016	51	78	74
017	92	60	36
018	82	57	20
019	97	41	91
020	81	94	89
021	85	23	50
022	62	32	62
023	77	22	99
024	39	97	70
025	56	32	84
026	23	84	61
027	60	38	47
028	64	85	36
029	38	48	89
030	58	36	42
031	96	73	43
032	58	85	59
033	31	98	79
034	45	29	91
035	31	96	99
036	59	30	52
037	21	56	47
038	82	57	95
039	47	83	73
040	34	87	62
041	65	56	67
042	33	92	37
043	69	40	33
044	81	91	99
045	87	79	92
046	94	73	23
047	42	82	24
048	46	34	98
049	64	20	48
050	31	88	81
