ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,1ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:44:13
終了時刻,2015-10-05,14:44:18
トリガ時刻,2015-10-05,14:44:13
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:44:13,000000,+23.3,+102.2,+100.03,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:44:13,001000,+23.1,+102.4,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:44:13,002000,+25.7,+102.3,+100.06,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:44:13,003000,+25.4,+102.2,+100.05,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:44:13,004000,+25.4,+102.3,+100.07,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:44:13,005000,+25.6,+102.3,+100.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:44:13,006000,+25.7,+102.4,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:44:13,007000,+25.6,+102.3,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:44:13,008000,+25.3,+102.3,+100.03,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:44:13,009000,+25.6,+102.3,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
