ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,1ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,13:51:27
終了時刻,2015-10-05,13:51:32
トリガ時刻,2015-10-05,13:51:27
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,13:51:27,000000,+25.2,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,13:51:27,001000,+25.2,+102.4,+100.15,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,13:51:27,002000,+25.2,+102.4,+100.18,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,13:51:27,003000,+25.1,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,13:51:27,004000,+25.2,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,13:51:27,005000,+25.3,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,13:51:27,006000,+25.3,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,13:51:27,007000,+25.5,+102.3,+100.15,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,13:51:27,008000,+25.4,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,13:51:27,009000,+25.7,+102.5,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,13:51:27,010000,+25.2,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,13:51:27,011000,+25.5,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,13:51:27,012000,+25.8,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,13:51:27,013000,+25.6,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,13:51:27,014000,+25.7,+102.4,+100.18,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,13:51:27,015000,+25.7,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,13:51:27,016000,+25.7,+102.4,+100.15,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
18,2015/10/05,13:51:27,017000,+25.6,+102.3,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
19,2015/10/05,13:51:27,018000,+25.2,+102.2,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
20,2015/10/05,13:51:27,019000,+25.5,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
21,2015/10/05,13:51:27,020000,+25.5,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
22,2015/10/05,13:51:27,021000,+25.2,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
23,2015/10/05,13:51:27,022000,+25.2,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
24,2015/10/05,13:51:27,023000,+25.3,+102.3,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
25,2015/10/05,13:51:27,024000,+25.0,+102.4,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
26,2015/10/05,13:51:27,025000,+25.2,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
27,2015/10/05,13:51:27,026000,+25.3,+102.2,+100.15,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
28,2015/10/05,13:51:27,027000,+25.2,+102.4,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
29,2015/10/05,13:51:27,028000,+25.3,+102.3,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
30,2015/10/05,13:51:27,029000,+25.5,+102.3,+100.18,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
31,2015/10/05,13:51:27,030000,+25.2,+102.1,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
32,2015/10/05,13:51:27,031000,+25.3,+102.5,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
33,2015/10/05,13:51:27,032000,+25.5,+102.2,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
34,2015/10/05,13:51:27,033000,+25.7,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
35,2015/10/05,13:51:27,034000,+25.5,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
36,2015/10/05,13:51:27,035000,+25.5,+102.5,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
37,2015/10/05,13:51:27,036000,+25.1,+102.4,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
38,2015/10/05,13:51:27,037000,+25.3,+102.4,+100.18,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
39,2015/10/05,13:51:27,038000,+25.2,+102.2,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
40,2015/10/05,13:51:27,039000,+24.9,+102.5,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
41,2015/10/05,13:51:27,040000,+25.1,+102.0,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
42,2015/10/05,13:51:27,041000,+25.3,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
43,2015/10/05,13:51:27,042000,+25.2,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
44,2015/10/05,13:51:27,043000,+25.0,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
45,2015/10/05,13:51:27,044000,+25.2,+102.2,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
46,2015/10/05,13:51:27,045000,+25.2,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
47,2015/10/05,13:51:27,046000,+25.3,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
48,2015/10/05,13:51:27,047000,+25.1,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
49,2015/10/05,13:51:27,048000,+25.8,+102.2,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
50,2015/10/05,13:51:27,049000,+25.2,+102.5,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
51,2015/10/05,13:51:27,050000,+25.3,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
52,2015/10/05,13:51:27,051000,+24.9,+102.2,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
53,2015/10/05,13:51:27,052000,+26.2,+102.5,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
54,2015/10/05,13:51:27,053000,+25.6,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
55,2015/10/05,13:51:27,054000,+25.2,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
56,2015/10/05,13:51:27,055000,+25.7,+102.5,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
57,2015/10/05,13:51:27,056000,+25.2,+102.5,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
58,2015/10/05,13:51:27,057000,+25.5,+102.4,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
59,2015/10/05,13:51:27,058000,+25.0,+102.1,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
60,2015/10/05,13:51:27,059000,+24.8,+102.1,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
61,2015/10/05,13:51:27,060000,+25.3,+102.5,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
62,2015/10/05,13:51:27,061000,+25.3,+102.4,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
63,2015/10/05,13:51:27,062000,+25.0,+102.3,+100.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
64,2015/10/05,13:51:27,063000,+25.0,+102.2,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
65,2015/10/05,13:51:27,064000,+25.2,+102.4,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
66,2015/10/05,13:51:27,065000,+25.2,+102.4,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
67,2015/10/05,13:51:27,066000,+25.0,+102.3,+100.17,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
68,2015/10/05,13:51:27,067000,+25.5,+102.4,+100.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
