ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:25:47
終了時刻,2015-10-05,14:25:57
トリガ時刻,2015-10-05,14:25:47
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:25:47,000000,+25.8,+101.7,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:25:47,002000,+25.5,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:25:47,004000,+24.9,+101.9,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:25:47,006000,+25.2,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:25:47,008000,+25.4,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:25:47,010000,+24.9,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:25:47,012000,+25.0,+101.8,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:25:47,014000,+25.4,+101.9,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:25:47,016000,+25.4,+101.6,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:25:47,018000,+25.7,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:25:47,020000,+25.7,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:25:47,022000,+25.6,+101.8,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:25:47,024000,+25.2,+101.7,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:25:47,026000,+25.7,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:25:47,028000,+25.0,+101.9,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,14:25:47,030000,+25.0,+101.7,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,14:25:47,032000,+25.1,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
18,2015/10/05,14:25:47,034000,+25.4,+101.8,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
19,2015/10/05,14:25:47,036000,+25.3,+101.8,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
20,2015/10/05,14:25:47,038000,+25.9,+101.7,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
21,2015/10/05,14:25:47,040000,+25.8,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
22,2015/10/05,14:25:47,042000,+25.7,+101.7,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
23,2015/10/05,14:25:47,044000,+25.5,+101.8,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
24,2015/10/05,14:25:47,046000,+25.4,+101.7,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
25,2015/10/05,14:25:47,048000,+25.0,+101.6,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
26,2015/10/05,14:25:47,050000,+25.1,+101.7,+59.90,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
27,2015/10/05,14:25:47,052000,+25.5,+101.8,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
28,2015/10/05,14:25:47,054000,+25.2,+101.8,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
29,2015/10/05,14:25:47,056000,+25.7,+101.7,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
30,2015/10/05,14:25:47,058000,+25.4,+101.8,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
31,2015/10/05,14:25:47,060000,+26.2,+101.7,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
32,2015/10/05,14:25:47,062000,+25.3,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
33,2015/10/05,14:25:47,064000,+25.7,+101.6,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
34,2015/10/05,14:25:47,066000,+25.4,+101.9,+59.85,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
35,2015/10/05,14:25:47,068000,+25.4,+101.8,+59.86,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
36,2015/10/05,14:25:47,070000,+24.7,+101.6,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
37,2015/10/05,14:25:47,072000,+25.4,+101.7,+59.90,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
38,2015/10/05,14:25:47,074000,+25.2,+101.7,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
39,2015/10/05,14:25:47,076000,+25.5,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
40,2015/10/05,14:25:47,078000,+25.4,+101.8,+59.88,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
41,2015/10/05,14:25:47,080000,+25.5,+101.8,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
42,2015/10/05,14:25:47,082000,+25.0,+102.1,+59.87,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
43,2015/10/05,14:25:47,084000,+25.3,+101.7,+59.89,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
