ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,1ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:45:59
終了時刻,2015-10-05,14:46:04
トリガ時刻,2015-10-05,14:45:59
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:45:59,000000,+25.6,+102.2,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:45:59,001000,+25.8,+102.2,+100.05,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:45:59,002000,+25.6,+102.3,+100.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:45:59,003000,+25.6,+102.3,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:45:59,004000,+25.3,+102.3,+100.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:45:59,005000,+25.6,+102.2,+100.05,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:45:59,006000,+25.3,+102.4,+100.03,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:45:59,007000,+25.2,+102.4,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:45:59,008000,+25.3,+102.2,+100.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:45:59,009000,+25.4,+102.2,+100.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:45:59,010000,+25.6,+102.2,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:45:59,011000,+25.3,+102.2,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:45:59,012000,+25.3,+102.3,+100.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:45:59,013000,+25.6,+102.4,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:45:59,014000,+25.5,+102.5,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,14:45:59,015000,+25.5,+102.4,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,14:45:59,016000,+25.6,+102.2,+100.04,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
