ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,1ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:33:40
終了時刻,2015-10-05,14:33:45
トリガ時刻,2015-10-05,14:33:40
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:33:40,000000,+25.7,+102.4,+60.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:33:40,001000,+25.3,+102.1,+60.12,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:33:40,002000,+25.0,+102.2,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:33:40,003000,+25.4,+102.4,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:33:40,004000,+25.5,+102.5,+60.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:33:40,005000,+25.3,+102.2,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:33:40,006000,+25.4,+102.3,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:33:40,007000,+25.5,+102.4,+60.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:33:40,008000,+25.3,+102.3,+60.12,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:33:40,009000,+25.8,+102.1,+60.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:33:40,010000,+25.3,+102.3,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:33:40,011000,+25.7,+102.4,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:33:40,012000,+25.7,+102.4,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:33:40,013000,+25.5,+102.1,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:33:40,014000,+25.3,+102.2,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,14:33:40,015000,+25.9,+102.2,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,14:33:40,016000,+25.5,+102.2,+60.12,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
18,2015/10/05,14:33:40,017000,+25.0,+102.4,+60.14,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
19,2015/10/05,14:33:40,018000,+25.6,+102.4,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
20,2015/10/05,14:33:40,019000,+25.7,+102.4,+60.12,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
21,2015/10/05,14:33:40,020000,+25.3,+102.2,+60.13,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
22,2015/10/05,14:33:40,021000,+25.3,+102.2,+60.16,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
